StartDate,EndDate,Status,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,DistributionChannel,UserLanguage,Q1.2,Q1.3_1,Q1.3_2,Q1.4,Q1.5,Q2.2_1,Q2.2_2,Q2.2_3,Q2.3_1,Q2.3_2,Q2.3_3,Q2.4_1,Q2.4_2,Q2.4_3,Q2.5_1,Q2.5_2,Q2.5_3,Q2.6_1,Q2.6_2,Q2.6_3,Q2.7,Q2.8,Q2.9,Q2.10,Q2.11,Q2.12,Q3.1,Q3.1_4_TEXT,Q3.2,Q3.2_4_TEXT,Q3.3,Q3.3_4_TEXT,Q3.4,Q3.4_4_TEXT,Q3.5,Q3.5_4_TEXT,Q3.6,Q3.6_3_TEXT,Q3.7,Q3.7_4_TEXT,Q3.8,Q3.8_3_TEXT,Q3.9,Q3.9_3_TEXT,Q3.10,Q3.11,Q3.12,Q3.13,Q3.14,Q4.1,Q4.1_4_TEXT,Q4.2,Q4.3,Q4.3_7_TEXT,Q4.4
Start Date,End Date,Response Type,Progress,Duration (in seconds),Finished,Recorded Date,Response ID,Distribution Channel,User Language,What is your rank in the Professor of Teaching Series,What was the start date of your Professor of Teaching (Security of Employment) appointment? - Quarter,What was the start date of your Professor of Teaching (Security of Employment) appointment? - Year,Optional: Which School is your primary appointment in?,Optional: Which department is your primary appointment in?,"How do you feel your workload is distributed across research, teaching, and service categories? - Research","How do you feel your workload is distributed across research, teaching, and service categories? - Teaching","How do you feel your workload is distributed across research, teaching, and service categories? - Service",What do you think your Department's expectation of your workload is? - Research,What do you think your Department's expectation of your workload is? - Teaching,What do you think your Department's expectation of your workload is? - Service,What do you think your School's expectation of your workload is? - Research,What do you think your School's expectation of your workload is? - Teaching,What do you think your School's expectation of your workload is? - Service,What do you think the Campus' expectation of your workload is? - Research,What do you think the Campus' expectation of your workload is? - Teaching,What do you think the Campus' expectation of your workload is? - Service,What do you think your workload distribution should be? - Research,What do you think your workload distribution should be? - Teaching,What do you think your workload distribution should be? - Service,"Optional: if you wish to add comments regarding the previous 5 questions, please do so here.",How many courses do you typically teach in a typical academic year?,How many courses do you think you should teach in a typical academic year?,How many courses do the Research Rank Professors in your department or academic unit teach in a typical year?,"Optional: if you wish to comment on the previous 3 questions, please do so here.","Adjust the slider to show to what degree you feel overburdened with 5 being an appropriate work load and 10 being severely overburdened. As a reminder, please consider this question for a typical year (i.e., not a pandemic-year).",Does your academic unit allow you to stack classes to allow a quarter without teaching? - Selected Choice,Does your academic unit allow you to stack classes to allow a quarter without teaching? - Other/Explanation - Text,Does your academic unit work with you to assign courses to minimize/optimize your course preparation? - Selected Choice,Does your academic unit work with you to assign courses to minimize/optimize your course preparation? - Other/Explanation - Text,Does your academic unit allow you to have significant choice in the courses and sections you teach to allow for pedagogy research? - Selected Choice,Does your academic unit allow you to have significant choice in the courses and sections you teach to allow for pedagogy research? - Other/Explanation - Text,"If you do discipline-specific research, do you feel that your academic unit values your contribution to the field? - Selected Choice","If you do discipline-specific research, do you feel that your academic unit values your contribution to the field? - Other/Explanation - Text","If you do pedagogy/educational research, do you feel that your academic unit values your contribution to the field? - Selected Choice","If you do pedagogy/educational research, do you feel that your academic unit values your contribution to the field? - Other/Explanation - Text",Do you feel that you have adequate time to complete research activities as required by the university? - Selected Choice,Do you feel that you have adequate time to complete research activities as required by the university? - Other/Explanation - Text,Do you feel your department allows/encourages you to take sabbatical for the quarter(s) you request? - Selected Choice,Do you feel your department allows/encourages you to take sabbatical for the quarter(s) you request? - Other/Explanation - Text,Do you feel your teaching is supported in the department? - Selected Choice,Do you feel your teaching is supported in the department? - Other/Explanation - Text,Do you feel your service is supported in the department? - Selected Choice,Do you feel your service is supported in the department? - Other/Explanation - Text,How well do you feel your position as a Professor of Teaching is valued in your department?,Do you agree that your department has a good understanding of the Professor of Teaching series?,Where do you feel you are making the biggest impact internally (within UCI)?,Where do you feel you are making the biggest impact externally (outside of UCI)?,"If the requisite IRB approvals are obtained, are you willing to allow your responses to these survey questions to be used in aggregate with other responses for research purposes?",Please indicate your gender identity. - Selected Choice,Please indicate your gender identity. - A Different Identity (Please Specify): - Text,Do you identify as either transgender or nonbinary?,Please indicate your ethnicity: (select all that apply) - Selected Choice,Please indicate your ethnicity: (select all that apply) - Other: (please specify) - Text,Do you have a disability or impairment?
"{""ImportId"":""startDate"",""timeZone"":""America/Los_Angeles""}","{""ImportId"":""endDate"",""timeZone"":""America/Los_Angeles""}","{""ImportId"":""status""}","{""ImportId"":""progress""}","{""ImportId"":""duration""}","{""ImportId"":""finished""}","{""ImportId"":""recordedDate"",""timeZone"":""America/Los_Angeles""}","{""ImportId"":""_recordId""}","{""ImportId"":""distributionChannel""}","{""ImportId"":""userLanguage""}","{""ImportId"":""QID1""}","{""ImportId"":""QID40_1""}","{""ImportId"":""QID40_2""}","{""ImportId"":""QID41""}","{""ImportId"":""QID3_TEXT""}","{""ImportId"":""QID4_1""}","{""ImportId"":""QID4_2""}","{""ImportId"":""QID4_3""}","{""ImportId"":""QID5_1""}","{""ImportId"":""QID5_2""}","{""ImportId"":""QID5_3""}","{""ImportId"":""QID6_1""}","{""ImportId"":""QID6_2""}","{""ImportId"":""QID6_3""}","{""ImportId"":""QID7_1""}","{""ImportId"":""QID7_2""}","{""ImportId"":""QID7_3""}","{""ImportId"":""QID44_1""}","{""ImportId"":""QID44_2""}","{""ImportId"":""QID44_3""}","{""ImportId"":""QID8_TEXT""}","{""ImportId"":""QID13_TEXT""}","{""ImportId"":""QID10_TEXT""}","{""ImportId"":""QID14_TEXT""}","{""ImportId"":""QID33_TEXT""}","{""ImportId"":""QID32""}","{""ImportId"":""QID15""}","{""ImportId"":""QID15_4_TEXT""}","{""ImportId"":""QID16""}","{""ImportId"":""QID16_4_TEXT""}","{""ImportId"":""QID17""}","{""ImportId"":""QID17_4_TEXT""}","{""ImportId"":""QID18""}","{""ImportId"":""QID18_4_TEXT""}","{""ImportId"":""QID19""}","{""ImportId"":""QID19_4_TEXT""}","{""ImportId"":""QID20""}","{""ImportId"":""QID20_3_TEXT""}","{""ImportId"":""QID21""}","{""ImportId"":""QID21_4_TEXT""}","{""ImportId"":""QID22""}","{""ImportId"":""QID22_3_TEXT""}","{""ImportId"":""QID23""}","{""ImportId"":""QID23_3_TEXT""}","{""ImportId"":""QID24""}","{""ImportId"":""QID25""}","{""ImportId"":""QID26_TEXT""}","{""ImportId"":""QID27_TEXT""}","{""ImportId"":""QID45""}","{""ImportId"":""QID28""}","{""ImportId"":""QID28_4_TEXT""}","{""ImportId"":""QID42""}","{""ImportId"":""QID31""}","{""ImportId"":""QID31_7_TEXT""}","{""ImportId"":""QID29""}"
2021-02-08 08:13:41,2021-02-08 08:23:35,0,100,594,1,2021-02-08 08:23:35,R_W1hwxEvf8MH29xL,email,EN,1,1,40,6,Mathematics,10,60,30,20,60,20,20,60,20,20,60,20,5,70,25,"It’s hard to measure what is meant by “research”. No one has given me a clear answer.  Does giving talks count?  Setting up academic programs via grants? Different people give different answers. ",7,5,3,"There is currently a movement in mathematics to reduce the research faculty’s teaching load from 4 to 3.  This reduction does not affect teaching professors, which is causing tension.  I predict a bigger schism between research and teaching faculty because of this inequity. ",10,4,"I think so but I’ve never tried it. ",1,,1,,2,,2,,"2,3","There is so much uncertainty about what the research expectations are for teaching faculty. ",3,,1,,1,,3,5,"With keeping the undergraduate education experience together.  Honestly, without teaching faculty, this would just fall apart in our department. ","In outreach and diversity. These two topics are considered jokes to research faculty, so we teaching faculty take on this extra work. ",1,2,,2,4,,2
2021-02-08 08:23:32,2021-02-08 08:27:05,0,100,212,1,2021-02-08 08:27:05,R_2EmzrKzAC14XAUS,email,EN,3,2,32,4,Molecular Biology and Biochemistry,40,40,20,10,80,10,15,70,15,15,70,15,40,40,20,,5,5,1.5,,5,1,,1,,1,,3,,2,,1,,2,,1,,1,,4,5,administrative responsibilities,pedagogical research,1,2,,2,2,,2
2021-02-08 08:10:25,2021-02-08 08:30:20,0,100,1195,1,2021-02-08 08:30:21,R_cTvNnFwMEQIBfxv,email,EN,3,2,15,1,Drama,8,66,26,0,73,27,0,100,0,24,45,31,9,72,19,"It is important to recognize that Lecturers with Security of Employment are overworked and will have difficulty taking the now provided sabbaticals to write and research.  Teaching 3+ courses per quarter that are required courses for undergraduates and serving on multiple committees that need attention, taking a year leave cannot happen because there is no funding provided for the department for class coverage.",11,9,6,"The department becomes dependent on the Teaching Professor to carry the major courses for undergrads, making it impossible for that faculty member to obtain a sabbatical to conduct research or write. 

FYI - Research Rank Professors teach 5 or 6 (to allowed as an answer above).",7,2,,2,,2,,1,,2,,2,,2,,1,,1,,3,2,With my students.,Through my students' careers in the field.,1,1,,2,6,,2
2021-02-08 08:38:22,2021-02-08 08:49:05,0,100,643,1,2021-02-08 08:49:05,R_3g1VKB5AVKC5Jfx,email,EN,1,1,40,13,"Electrical Engineering and Computer Science ",17,42,41,24,50,26,40,40,20,9,61,30,45,45,10,"Sometimes the expectations don't add up to 100%, the expectations/workload can be more than 100% with a lot of teaching load plus service and still some research activity is required. ",6,5,3,"The expectation from research does not align with the start up fund that we get. Hence, we spend a lot of time trying to look for fund to recruit students which is not comparable with the research faculty which starts with a big start up to support the research with half the teaching load. Since there is a requirement for research, I think there should be startup to support hiring PhD students as well as purchase the required equipment. ",8,3,,1,,4,"I choose the classes however, I don't do pedagogy research",1,,4,I don't do pedagogy research,2,,"1,4",The department allowed me to take the faculty relief for Covid19,1,,1,,5,5,"Teaching and collaboration with others ","Research publication ",1,1,,2,7,Middle Eastern,2
2021-02-08 08:26:42,2021-02-08 08:50:41,0,100,1439,1,2021-02-08 08:50:42,R_2aQURsltwIvTWSs,email,EN,2,4,34,4,Ecology and Evolutionary Biology,5,75,20,13,75,12,20,70,10,10,80,10,13,75,12,"Workload distribution doesn't fully capture expectations around research. My teaching load is 4 times higher than that for research faculty, but the expectations for research aren't 4 times lower.",6,5,1.5,"# of courses isn't a good indicator of workload. My 4-unit lab class with 300 students spread across 12 sections with multiple TAs isn't equivalent to someone teaching a 4-unit seminar to 15 students. ",8,4,It usually isn't feasible since many classes are only taught once a year,1,,2,,3,,1,,2,,4,"Yes, but likely for only 1 quarter. It would requiring hiring too many adjuncts for me to take more quarters off",1,,1,,1,2,Within my classes by embracing inclusive teaching strategies.,In academic societies raising awareness of evidence based teaching strategies for STEM education,1,1,,2,4,,2
2021-02-08 08:42:16,2021-02-08 09:02:05,0,100,1188,1,2021-02-08 09:02:06,R_1ozNfI2K6srhv4v,email,EN,3,,21,6,Chemistry,5,75,20,5,75,20,5,75,20,50,40,10,5,75,20,"Curriculum development should be classified as part of research and teaching.  Applying the research professor's descriptions of the 3 categories is detrimental to UCI's teaching mission.  ",7,7,2,,6,2,,"1,4",I teach the same courses every year.,2,,4,I don't do this type of research,1,,2,,4,"For me to take a sabbatical, a significant shift in department resources would need to occur.  The position is over 35 years old and was not structured with the idea that a sabbatical would be taken by the individual.",1,,1,,2,2,"Educating students on fundamental lab skills, scientific thinking, and laboratory safety.   Educational technology use.",Electronic notebook use and lab safety.,1,5,,3,8,,3
2021-02-08 08:51:45,2021-02-08 09:06:31,0,100,885,1,2021-02-08 09:06:32,R_2SdZTqmFHZls24L,email,EN,1,1,40,7,ODT (an area - no depts at Merage),0,80,20,30,50,20,30,50,20,25,65,10,24,66,10,No idea what the campus expects;  No real idea of what my school expects either-first Merit is this year,7,7,4,"It is unclear.  My letter states 9 for my position with 1 release in years 1-3.  First year, I did 8.  This year (second year) I am doing 6 to arrive at an average of 7.  In addition to teaching and developing online courses, I am on 2 committees and I direct a IT group of 3 personnel. 

Not sure on the ""should"".  But I would like this to be clear and reflected in Merit/Tenure process.

I am concerned about the research/creative activities requirement in my school and how I will be judged.

There are very few LSOE at Merage and we are different.  Does it make sense to have the same criteria for all?",8,3,,4,Yes-to some extent,1,,3,,3,,2,,3,,1,,3,Not sure,2,3,Adding innovative classes and online/hybrid courses.  Helping to move information technology at Merage forward.,Not sure yet.,1,2,,2,6,,2
2021-02-08 09:09:28,2021-02-08 09:15:16,0,100,347,1,2021-02-08 09:15:17,R_31gyaMgd0JGTIrA,email,EN,3,4,27,,,15,70,15,10,70,20,10,70,20,5,80,15,15,70,15,,5,5,1.5,,9,1,,1,,3,,1,,1,,1,,1,,1,,1,,3,3,"Teaching, service",research,1,1,,2,6,,2
2021-02-08 09:15:46,2021-02-08 09:21:24,0,100,337,1,2021-02-08 09:21:24,R_28AHXNYn0xFpwbv,email,EN,2,1,35,9,"Health, Society, and Behavior",5,65,30,25,50,25,25,50,25,25,65,10,15,65,20,,6,6,3,,7,2,,2,,2,,1,,3,,2,,3,,1,,1,,3,2,Administrative service and mentorship of junior faculty/students.,Pedagogy in my field.,1,1,,2,6,,2
